id,equip_coordonnees,inst_numero,inst_nom,equip_type_name,equip_type_famille,aps_name,equip_acc_libre,equip_url,inst_adresse,new_code,equip_prop_nom,equip_gest_type,inst_acc_handi_bool
87642,"{'lon': 4.845966, 'lat': 43.889689}",I130270013,STADE DU GRAND QUARTIER,Terrain de football,Terrain de grands jeux,"['Football / Football en salle (Futsal)', 'Rugby à 15 / Rugby à 7']",false,,CHEMIN DU GRAND QUARTIER,13027,,Commune,false
87645,"{'lon': 5.601212, 'lat': 43.184289}",I130280004,COMPLEXE SPORTIF VIREBELLE,Terrain de football,Terrain de grands jeux,['Football / Football en salle (Futsal)'],false,,AV JULES FERRY,13028,,Commune,true
87648,"{'lon': 5.6122, 'lat': 43.177}",I130280014,BASE NAUTIQUE MUNICIPALE,Port de plaisance,Site d'activités aquatiques et nautiques,"['Canoë de randonnée', 'Planche à Voile']",true,,NOUVEAU PORT DE PLAISANCE,13028,AFFAIRES MARITIMES,Commune,true
87651,"{'lon': 5.6033100000000005, 'lat': 43.37746}",I130310004,TERRAIN LES TISSERANDS,Salle de musculation/cardiotraining,Equipement d'activités de forme et de santé,"['Activités de forme et de santé', 'Musculation']",false,,ROUTE DE PEYPIN,13031,,Association(s),false
87654,"{'lon': 5.03121, 'lat': 43.69513}",I130350012,SALLES POLYVALENTES,Salles polyvalentes / des fêtes / non spécialisées,Salle non spécialisée,"['Autres Danses', 'Karaté/Karaté jutsu/Goshin jutsu/Kobudo/Nihon Tai-jutsu/Taijitsu/Nambudo/Ninjutsu/Nunchaku/...']",false,,RUE DU COUVENT,13035,,Commune,true
87658,"{'lon': 4.9348, 'lat': 43.4593}",I130390003,GYMNASE DES CARABINS,Salle de musculation/cardiotraining,Equipement d'activités de forme et de santé,"['Culturisme', 'Haltérophilie / Force athlétique', 'Musculation']",false,,CHEMIN DU GARI,13039,,Commune,true
87661,"{'lon': 4.9372, 'lat': 43.4584}",I130390019,PARC ANDRE CAMPRA,Terrain de boules,Boulodrome,['Sports boules'],true,,CHEMIN DE SABATIER,13039,,Commune,false
87662,"{'lon': 5.55505, 'lat': 43.45284}",I130400001,COMPLEXE SPORTIF SAINT FRANCOIS,Salle de musculation/cardiotraining,Equipement d'activités de forme et de santé,['Musculation'],false,,CHEMIN SAINT FRANCOIS,13040,,Commune,true
87665,"{'lon': 5.558994, 'lat': 43.445423}",I130400012,"SKATE PARK, PLATEAU MULTISPORT ET PARCOURS SPORTIF",Multisports/City-stades,Multisports/City-stades,"['Basket-Ball', 'Football / Football en salle (Futsal)', 'Handball / Mini hand / Handball de plage']",true,,CHEMIN DES VERTUS,13040,,Commune,false
87667,"{'lon': 5.46454, 'lat': 43.44337}",I130410003,STADE ALBERT CURET STADE SAINT PIERRE,Terrain mixte,Terrain de grands jeux,['Football / Football en salle (Futsal)'],false,,CHEMIN DES ANGLES,13041,,Commune,true
