id,equip_coordonnees,inst_numero,inst_nom,equip_type_name,equip_type_famille,aps_name,equip_acc_libre,equip_url,inst_adresse,new_code,equip_prop_nom,equip_gest_type,inst_acc_handi_bool
184197,"{'lon': 5.58202, 'lat': 43.64729}",I130740002,PLATEAUX EPS ECOLE,Multisports/City-stades,Multisports/City-stades,"['Basket-Ball', 'Volley-ball / Volley-ball de plage (beach-volley) / Green-Volley']",false,,RUE DES ECOLES,13074,,Commune,true
184198,"{'lon': 5.434289, 'lat': 43.662372}",I130800007,COLLEGE LOUIS PHILIBERT,Multisports/City-stades,Multisports/City-stades,"['Football / Football en salle (Futsal)', 'Handball / Mini hand / Handball de plage']",false,,1 Allee des Tilleuls,13080,,Département,true
184199,"{'lon': 5.438842, 'lat': 43.318143}",I132120028,ECOLE DE LA BOMBARDIERE,Multisports/City-stades,Multisports/City-stades,"['Course sur piste', 'Handball / Mini hand / Handball de plage']",false,,RUE CHARLES KADDOUZ,13212,,Commune,true
184200,"{'lon': 5.375641, 'lat': 43.336642}",I132140018,LYCEE FLORIDE,Multisports/City-stades,Multisports/City-stades,"['Football / Football en salle (Futsal)', 'Handball / Mini hand / Handball de plage']",false,,54 Boulevard gay lussac,13214,,Etablissement Public,true
184201,"{'lon': 5.37252, 'lat': 43.3885}",I132150041,Groupement Scolaire Solidarité,Terrain de basket-ball,Terrain extérieur de petits jeux collectifs,['Basket-Ball'],false,,Route du Vallon d'Ol,13215,,Commune,true
195208,"{'lon': 5.3795, 'lat': 43.2407}",I132080045,LYCEE MARSEILLEVEYRE,Salle de danse,Salle ou terrain spécialisé,['Danses par Couple (Danses de compétition)'],false,,83 TRAVERSE PARAGON,13208,,Région,true
195296,"{'lon': 5.44381, 'lat': 43.50744}",I130010151,CREPS Provence-Alpes-Côte d'Azur - Site d'Aix en Provence,Dojo / Salle d'arts martiaux,Salle de combat,['Taekwondo / Hapkido / Tang-soo-do / Soo bahk do / Sin moo hapkido / Hapkido jin jung kwan'],false,,62 chemin du viaduc,13001,,Etablissement Public,true
195664,"{'lon': 5.413029, 'lat': 43.233269}",I132090001,CENTRE PENITENTIAIRE DES BAUMETTES,Salle de musculation/cardiotraining,Equipement d'activités de forme et de santé,['Musculation'],false,,239 CHEMIN MORGIOU,13209,,Etat,false
195776,"{'lon': 5.45837, 'lat': 43.52465}",I130010119,LYCEE MILITAIRE,Salle de musculation/cardiotraining,Equipement d'activités de forme et de santé,['Musculation'],false,,13 boulevard des poilus,13001,,Etat,false
196002,"{'lon': 5.405618, 'lat': 43.229637}",I132090001,CENTRE PENITENTIAIRE DES BAUMETTES,Terrain de football,Terrain de grands jeux,['Football / Football en salle (Futsal)'],false,,239 CHEMIN MORGIOU,13209,,Etat,false
198189,"{'lon': 5.391533, 'lat': 43.305741}",I132010007,LYCEE SAINT-CHARLES,Multisports/City-stades,Multisports/City-stades,"['Basket-Ball', 'Football / Football en salle (Futsal)', 'Handball / Mini hand / Handball de plage', 'Volley-ball / Volley-ball de plage (beach-volley) / Green-Volley']",false,,5 Rue guy fabre,13201,,Etablissement Public,true
198520,"{'lon': 5.3787, 'lat': 43.29119}",I132060016,LYCEE MONTGRAND,Salle de musculation/cardiotraining,Equipement d'activités de forme et de santé,['Musculation'],false,,13 R MONTGRAND,13206,,Etablissement Public,true
198522,"{'lon': 5.3892, 'lat': 43.2587}",I132080057,LYCEE MISTRAL,Salle multisports (gymnase),Salle multisports,"['Basket-Ball', 'Handball / Mini hand / Handball de plage', 'Volley-ball / Volley-ball de plage (beach-volley) / Green-Volley']",false,,BD DE SAINTE ANNE,13208,,Région,false
198526,"{'lon': 5.3533, 'lat': 43.34133}",I132150009,LYCEE SAINT EXUPERY,Terrain de volley-ball,Terrain extérieur de petits jeux collectifs,['Volley-ball / Volley-ball de plage (beach-volley) / Green-Volley'],false,,529 CHEMIN DE LA MADRAGUE VILLE,13215,,Région,true
198578,"{'lon': 5.02910166979, 'lat': 43.6862255668}",I130350010,COLLEGE LUCIE AUBRAC,Terrain de handball,Terrain extérieur de petits jeux collectifs,['Handball / Mini hand / Handball de plage'],false,,Les Coudoulieres,13035,,EPCI,true
200530,"{'lon': 5.413029, 'lat': 43.233269}",I132090001,CENTRE PENITENTIAIRE DES BAUMETTES,Multisports/City-stades,Multisports/City-stades,"['Basket-Ball', 'Handball / Mini hand / Handball de plage']",false,,239 CHEMIN MORGIOU,13209,,Etat,false
201497,"{'lon': 5.44369, 'lat': 43.50821}",I130010151,CREPS Provence-Alpes-Côte d'Azur - Site d'Aix en Provence,Terrain de soccer,Salle ou terrain spécialisé,['Football / Football en salle (Futsal)'],false,,62 chemin du viaduc,13001,,Etablissement Public,true
202832,"{'lon': 5.1581454277, 'lat': 43.4873596758}",I130140021,INSTALLATIONS SPORTIVES DU COLLEGE FERNAND LEGER,Aire de saut,Equipement d'athlétisme,['Saut'],false,,Allée le Réveille Matin,13014,,Département,true
